"id","parent_id/id","code","name"
"sni_241","","241","Framställning av järn och stål samt ferrolegeringar"
"sni_242","","242","Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål"
"sni_243","","243","Annan primärbearbetning av stål"
"sni_244","","244","Framställning av andra metaller än järn"
"sni_245","","245","Gjutning av metall"
"sni_251","","251","Byggnadsmetallvarutillverkning"
"sni_252","","252","Tillverkning av cisterner, tankar, kar och andra behållare av metall"
"sni_253","","253","Tillverkning av ånggeneratorer utom varmvattenpannor för centraluppvärmning"
"sni_254","","254","Tillverkning av vapen och ammunition"
"sni_255","","255","Smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
"sni_256","","256","Beläggning och överdragning av metall; metallegoarbeten"
"sni_257","","257","Tillverkning av bestick, verktyg och andra järnhandelsvaror"
"sni_259","","259","Annan metallvarutillverkning"
"sni_261","","261","Tillverkning av elektroniska komponenter och kretskort"
"sni_262","","262","Tillverkning av datorer och kringutrustning"
"sni_263","","263","Tillverkning av kommunikationsutrustning"
"sni_264","","264","Tillverkning av hemelektronik"
"sni_265","","265","Tillverkning av instrument och apparater för mätning, provning och navigering samt ur"
"sni_266","","266","Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning"
"sni_267","","267","Tillverkning av optiska instrument och fotoutrustning"
"sni_268","","268","Tillverkning av magnetiska och optiska medier"
"sni_271","","271","Tillverkning av elmotorer, generatorer och transformatorer samt eldistributions- och elkontrollapparater"
"sni_272","","272","Batteri- och ackumulatortillverkning"
"sni_273","","273","Tillverkning av ledningar och kablar och kabeltillbehör"
"sni_274","","274","Tillverkning av belysningsarmatur"
"sni_275","","275","Tillverkning av hushållsmaskiner och hushållsapparater"
"sni_279","","279","Tillverkning av annan elapparatur"
"sni_281","","281","Tillverkning av maskiner för allmänt ändamål"
"sni_282","","282","Tillverkning av andra maskiner för allmänt ändamål"
"sni_283","","283","Tillverkning av jord- och skogsbruksmaskiner"
"sni_284","","284","Tillverkning av maskiner för metallbearbetning och verktygsmaskiner"
"sni_289","","289","Tillverkning av andra specialmaskiner"
"sni_291","","291","Motorfordonstillverkning"
"sni_292","","292","Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar"
"sni_293","","293","Tillverkning av delar och tillbehör till motorfordon"
"sni_301","","301","Byggande av fartyg och båtar"
"sni_302","","302","Tillverkning av rälsfordon"
"sni_303","","303","Tillverkning av luftfartyg, rymdfarkoster o.d."
"sni_304","","304","Tillverkning av militära stridsfordon"
"sni_309","","309","Övrig tillverkning av transportmedel"
"sni_310","","310","Tillverkning av möbler"
"sni_321","","321","Tillverkning av smycken, guld- och silversmedsvaror samt bijouterier"
"sni_322","","322","Tillverkning av musikinstrument"
"sni_323","","323","Tillverkning av sportartiklar"
"sni_324","","324","Tillverkning av spel och leksaker"
"sni_325","","325","Tillverkning av medicinsk och dental utrustning"
"sni_329","","329","Övrig tillverkning"
"sni_331","","331","Reparation av metallvaror, maskiner och apparater"
"sni_332","","332","Installation av industrimaskiner och -utrustning"
"sni_351","","351","Generering, överföring och distribution av elkraft"
"sni_352","","352","Gasförsörjning; distribution av gasformiga bränslen via rörnät"
"sni_353","","353","Försörjning av värme och kyla"
"sni_360","","360","Vattenförsörjning"
"sni_370","","370","Avloppsrening"
"sni_381","","381","Insamling av avfall"
"sni_382","","382","Behandling och bortskaffande av avfall"
"sni_383","","383","Återvinning"
"sni_390","","390","Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning"
"sni_411","","411","Utformning av byggprojekt"
"sni_412","","412","Byggande av bostadshus och andra byggnader"
"sni_421","","421","Anläggning av vägar och järnvägar"
"sni_422","","422","Allmännyttiga anläggningsarbeten"
"sni_429","","429","Andra anläggningsarbeten"
"sni_431","","431","Rivning av hus samt mark- och grundarbeten"
"sni_432","","432","Elinstallationer, VVS-arbeten och andra bygginstallationer"
"sni_433","","433","Slutbehandling av byggnader"
"sni_439","","439","Annan specialiserad bygg- och anläggningsverksamhet"
"sni_451","","451","Handel med motorfordon utom motorcyklar"
"sni_452","","452","Underhåll och reparation av motorfordon utom motorcyklar"
"sni_453","","453","Handel med reservdelar och tillbehör till motorfordon utom motorcyklar"
"sni_454","","454","Handel med och service av motorcyklar inklusive reservdelar och tillbehör"
"sni_461","","461","Provisionshandel utom med motorfordon"
"sni_462","","462","Partihandel med jordbruksråvaror och levande djur"
"sni_463","","463","Partihandel med livsmedel, drycker och tobak"
"sni_464","","464","Partihandel med hushållsvaror"
"sni_465","","465","Partihandel med informations- och kommunikationsutrustning"
"sni_466","","466","Partihandel med övriga maskiner och övrig utrustning"
"sni_467","","467","Annan specialiserad partihandel"
"sni_469","","469","Övrig partihandel"
"sni_471","","471","Detaljhandel med brett sortiment"
"sni_472","","472","Specialiserad butikshandel med livsmedel, drycker och tobak"
"sni_473","","473","Specialiserad detaljhandel med drivmedel"
"sni_474","","474","Specialiserad butikshandel med informations- och kommunikationsutrustning"
"sni_475","","475","Specialiserad butikshandel med heminredningsartiklar och husgeråd"
"sni_476","","476","Specialiserad butikshandel med kultur- och fritidsartiklar"
"sni_477","","477","Övrig specialiserad butikshandel med hushållsvaror"
"sni_478","","478","Torg- och marknadshandel"
"sni_479","","479","Detaljhandel ej i butik, på torg eller marknad"
"sni_491","","491","Järnvägstransport, passagerartrafik"
"sni_492","","492","Järnvägstransport, godstrafik"
"sni_493","","493","Annan landtransport, passagerartrafik"
"sni_494","","494","Vägtransport, godstrafik och flyttjänster"
"sni_495","","495","Transport i rörsystem"
"sni_501","","501","Havs- och kustsjöfart, passagerartrafik"
"sni_502","","502","Havs- och kustsjöfart, godstrafik"
"sni_503","","503","Sjöfart på inre vattenvägar, passagerartrafik"
"sni_504","","504","Sjöfart på inre vattenvägar, godstrafik"
"sni_511","","511","Lufttransport, passagerartrafik"
"sni_512","","512","Lufttransport, godstrafik och rymdfart"
"sni_521","","521","Magasinering och varulagring"
"sni_522","","522","Stödtjänster till transport"
"sni_531","","531","Postbefordran via nationella posten"
"sni_532","","532","Annan postbefordran samt kurirverksamhet"
"sni_551","","551","Hotellverksamhet"
"sni_552","","552","Semesterbostäder och annan korttidsinkvartering"
"sni_553","","553","Campingplatsverksamhet"
"sni_559","","559","Annan logiverksamhet"
"sni_561","","561","Restaurangverksamhet"
"sni_562","","562","Cateringverksamhet"
"sni_563","","563","Barverksamhet"
"sni_581","","581","Utgivning av böcker och tidskrifter och annan förlagsverksamhet"
"sni_582","","582","Utgivning av programvara"
"sni_591","","591","Film-, video- och TV-programverksamhet"
"sni_592","","592","Ljudinspelning och fonogramutgivning"
"sni_601","","601","Sändning av radioprogram"
"sni_602","","602","Planering av TV-program och sändningsverksamhet"
"sni_611","","611","Trådbunden telekommunikation"
"sni_612","","612","Trådlös telekommunikation"
"sni_613","","613","Telekommunikation via satellit"
"sni_619","","619","Annan telekommunikation"
"sni_620","","620","Dataprogrammering, datakonsultverksamhet o.d."
"sni_631","","631","Databehandling, hosting o.d.; webbportaler"
"sni_639","","639","Andra informationstjänster"
"sni_641","","641","Monetär finansförmedling"
"sni_642","","642","Holdingverksamhet"
"sni_643","","643","Fonder och liknande finansiella enheter"
"sni_649","","649","Andra finansiella tjänster utom försäkring och pensionsfondsverksamhet"
"sni_651","","651","Försäkring"
"sni_652","","652","Återförsäkring"
"sni_653","","653","Pensionsfondsverksamhet"
