id;parent_id/is;code;name;;;;
ssyk_713;ssyk_71;713; Målare, lackerare och skorstensfejare m.fl.;;;;
ssyk_721;ssyk_72;721; Gjutare, svetsare och plåtslagare m.fl.;;;;
ssyk_722;ssyk_72;722; Smeder och verktygsmakare m.fl.;;;;
ssyk_723;ssyk_72;723; Fordonsmekaniker och reparatörer m.fl.;;;;
ssyk_731;ssyk_73;731; Finmekaniker och konsthantverkare m.fl.;;;;
ssyk_732;ssyk_73;732; Prepresstekniker, tryckare och bokbindare m.fl.;;;;
ssyk_741;ssyk_74;741; Installations- och industrielektriker m.fl.;;;;
ssyk_742;ssyk_74;742; Elektronikreparatörer och kommunikationselektriker m.fl.;;;;
ssyk_751;ssyk_75;751; Utgår[];;;;
ssyk_752;ssyk_75;752; Ytbehandlare, trä och möbelsnickare m.fl.;;;;
ssyk_753;ssyk_75;753; Skräddare, tapetserare och läderhantverkare m.fl.;;;;
ssyk_761;ssyk_76;761; Slaktare, bagare och livsmedelsförädlare m.fl.;;;;
ssyk_811;ssyk_81;811; Malmförädlingsyrken och brunnsborrare m.fl.;;;;
ssyk_812;ssyk_81;812; Process- och maskinoperatörer, vid stål- och metallverk;;;;
ssyk_813;ssyk_81;813; Maskinoperatörer, kemiska och farmaceutiska produkter m.m.;;;;
ssyk_814;ssyk_81;814; Maskinoperatörer, gummi-, plast- och pappersvaruindustri;;;;
ssyk_815;ssyk_81;815; Maskinoperatörer, textil-, tvätt- och läderindustri m.m.;;;;
ssyk_816;ssyk_81;816; Maskinoperatörer, livsmedelsindustri;;;;
ssyk_817;ssyk_81;817; Processoperatörer, trä- och pappersindustri;;;;
ssyk_818;ssyk_81;818; Andra process- och maskinoperatörer;;;;
ssyk_819;ssyk_81;819; Drifttekniker och processövervakare;;;;
ssyk_821;ssyk_82;821; Montörer;;;;
ssyk_831;ssyk_83;831; Lokförare och bangårdspersonal;;;;
ssyk_832;ssyk_83;832; Bil-, motorcykel och cykelförare;;;;
ssyk_833;ssyk_83;833; Lastbils- och bussförare;;;;
ssyk_834;ssyk_83;834; Maskinförare;;;;
ssyk_835;ssyk_83;835; Matroser och jungmän m.fl.;;;;
ssyk_911;ssyk_91;911; Städare och hemservicepersonal m.fl.;;;;
ssyk_912;ssyk_91;912; Tvättare, fönsterputsare och övriga rengöringsarbetare;;;;
ssyk_921;ssyk_92;921; Bärplockare och plantörer m.fl.;;;;
ssyk_931;ssyk_93;931; Grovarbetare inom bygg och anläggning;;;;
ssyk_932;ssyk_93;932; Handpaketerare och andra fabriksarbetare;;;;
ssyk_933;ssyk_93;933; Hamnarbetare och ramppersonal m.fl.;;;;
ssyk_941;ssyk_94;941; Snabbmatspersonal, köks- och restaurangbiträden m.fl.;;;;
ssyk_951;ssyk_95;951; Utgår[];;;;
ssyk_952;ssyk_95;952; Torg- och marknadsförsäljare;;;;
ssyk_961;ssyk_96;961; Återvinningsarbetare;;;;
ssyk_962;ssyk_96;962; Tidningsdistributörer, vaktmästare och övriga servicearbetare;;;;
ssyk_1111;ssyk_111;1111; Politiker;;;;
ssyk_1112;ssyk_111;1112; General-, landstings- och kommundirektörer m.fl.;;;;
ssyk_1113;ssyk_111;1113; Chefstjänstemän i intresseorganisationer;;;;
ssyk_1120;ssyk_112;1120; Verkställande direktörer m.fl.;;;;
ssyk_1211;ssyk_121;1211; Ekonomi- och finanschefer;;;;
ssyk_1212;ssyk_121;1212; Ekonomi- och finanschefer;;;;
ssyk_1221;ssyk_122;1221; Personal- och HR-chefer;;;;
ssyk_1222;ssyk_122;1222; Personal- och HR-chefer;;;;
ssyk_1230;ssyk_123;1230; Förvaltnings- och planeringschefer;;;;
ssyk_1241;ssyk_124;1241; Informations-, kommunikations- och PR-chefer;;;;
ssyk_1242;ssyk_124;1242; Informations-, kommunikations - och PR-chefer;;;;
ssyk_1251;ssyk_125;1251; Försäljnings- och marknadschefer;;;;
ssyk_1252;ssyk_125;1252; Försäljnings- och marknadschefer;;;;
ssyk_1291;ssyk_129;1291; Övriga administrations- och servicechefer;;;;
ssyk_1292;ssyk_129;1292; Övriga administrations- och servicechefer;;;;
ssyk_1311;ssyk_131;1311; IT-chefer;;;;
ssyk_1312;ssyk_131;1312; IT-chefer;;;;
ssyk_1321;ssyk_132;1321; Inköps-, logistik- och transportchefer;;;;
ssyk_1322;ssyk_132;1322; Inköps-, logistik- och transportchefer;;;;
ssyk_1331;ssyk_133;1331; Forsknings- och utvecklingschefer;;;;
ssyk_1332;ssyk_133;1332; Forsknings- och utvecklingschefer;;;;
ssyk_1341;ssyk_134;1341; Chefer inom arkitekt- och ingenjörsverksamhet;;;;
ssyk_1342;ssyk_134;1342; Chefer inom arkitekt- och ingenjörsverksamhet;;;;
ssyk_1351;ssyk_135;1351; Fastighets- och förvaltningschefer;;;;
ssyk_1352;ssyk_135;1352; Fastighets- och förvaltningschefer;;;;
ssyk_1361;ssyk_136;1361; Driftchefer inom bygg, anläggning och gruva;;;;
ssyk_1362;ssyk_136;1362; Driftchefer inom bygg, anläggning och gruva;;;;
ssyk_1371;ssyk_137;1371; Produktionschefer inom tillverkning;;;;
ssyk_1372;ssyk_137;1372; Produktionschefer inom tillverkning;;;;
ssyk_1380;ssyk_138;1380; Förvaltare inom skogsbruk och lantbruk m.fl.;;;;
ssyk_1411;ssyk_141;1411; Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning;;;;
ssyk_1412;ssyk_141;1412; Rektorer;;;;
ssyk_1421;ssyk_142;1421; Avdelningschefer inom förskola;;;;
ssyk_1422;ssyk_142;1422; Förskolechefer;;;;
ssyk_1491;ssyk_149;1491; Övriga avdelningschefer inom utbildning;;;;
ssyk_1492;ssyk_149;1492; Övriga verksamhetschefer inom utbildning;;;;
ssyk_1511;ssyk_151;1511; Klinik- och verksamhetschefer inom hälsa och sjukvård;;;;
ssyk_1512;ssyk_151;1512; Avdelnings- och enhetschefer inom hälsa och sjukvård;;;;
ssyk_1521;ssyk_152;1521; Avdelningschefer inom socialt och kurativt arbete;;;;
ssyk_1522;ssyk_152;1522; Enhetschefer inom socialt och kurativt arbete;;;;
ssyk_1531;ssyk_153;1531; Avdelningschefer inom äldreomsorg;;;;
ssyk_1532;ssyk_153;1532; Enhetschefer inom äldreomsorg;;;;
ssyk_1540;ssyk_154;1540; Chefer och ledare inom trossamfund;;;;
ssyk_1591;ssyk_159;1591; Övriga chefer inom samhällsservice;;;;
ssyk_1592;ssyk_159;1592; Övriga verksamhetschefer inom samhällsservice;;;;
ssyk_1611;ssyk_161;1611; Chefer inom bank, finans och försäkring;;;;
ssyk_1612;ssyk_161;1612; Chefer inom bank, finans och försäkring;;;;
ssyk_1711;ssyk_171;1711; Hotell- och konferenschefer;;;;
ssyk_1712;ssyk_171;1712; Hotell- och konferenschefer;;;;
ssyk_1721;ssyk_172;1721; Restaurang- och kökschefer;;;;
ssyk_1722;ssyk_172;1722; Restaurang- och kökschefer;;;;
ssyk_1731;ssyk_173;1731; Chefer inom handel;;;;
ssyk_1732;ssyk_173;1732; Chefer inom handel;;;;
ssyk_1741;ssyk_174;1741; Chefer inom friskvård, sport och fritid;;;;
ssyk_1742;ssyk_174;1742; Chefer inom friskvård, sport och fritid;;;;
ssyk_1791;ssyk_179;1791; Chefer inom övrig servicenäring;;;;
ssyk_1792;ssyk_179;1792; Chefer inom övrig servicenäring;;;;
ssyk_2111;ssyk_211;2111; Fysiker och astronomer;;;;
ssyk_2112;ssyk_211;2112; Meteorologer;;;;
ssyk_2113;ssyk_211;2113; Kemister;;;;
ssyk_2114;ssyk_211;2114; Geologer och geofysiker m.fl.;;;;
ssyk_2121;ssyk_212;2121; Matematiker och aktuarier;;;;
ssyk_2122;ssyk_212;2122; Statistiker;;;;
ssyk_2131;ssyk_213;2131; Cell- och molekylärbiologer m.fl.;;;;
ssyk_2132;ssyk_213;2132; Växt- och djurbiologer;;;;
ssyk_2133;ssyk_213;2133; Farmakologer och biomedicinare;;;;
ssyk_2134;ssyk_213;2134; Specialister och rådgivare inom lantbruk m.m.;;;;
ssyk_2135;ssyk_213;2135; Specialister och rådgivare inom skogsbruk;;;;
ssyk_2141;ssyk_214;2141; Civilingenjörsyrken inom logistik och produktionsplanering;;;;
ssyk_2142;ssyk_214;2142; Civilingenjörsyrken inom bygg och anläggning;;;;
ssyk_2143;ssyk_214;2143; Civilingenjörsyrken inom elektroteknik;;;;
ssyk_2144;ssyk_214;2144; Civilingenjörsyrken inom maskinteknik;;;;
ssyk_2145;ssyk_214;2145; Civilingenjörsyrken inom kemi och kemiteknik;;;;
ssyk_2146;ssyk_214;2146; Civilingenjörsyrken inom gruvteknik och metallurgi;;;;
ssyk_2149;ssyk_214;2149; Övriga civilingenjörsyrken;;;;
ssyk_2161;ssyk_216;2161; Arkitekter m.fl.;;;;
ssyk_2162;ssyk_216;2162; Landskapsarkitekter;;;;
ssyk_2163;ssyk_216;2163; Planeringsarkitekter m.fl.;;;;
ssyk_2164;ssyk_216;2164; Lantmätare;;;;
ssyk_2171;ssyk_217;2171; Industridesigner;;;;
ssyk_2172;ssyk_217;2172; Grafisk formgivare m.fl.;;;;
ssyk_2173;ssyk_217;2173; Designer inom spel och digitala medier;;;;
ssyk_2179;ssyk_217;2179; Övriga designer och formgivare;;;;
ssyk_2181;ssyk_218;2181; Arbetsmiljöingenjörer, yrkes- och miljöhygieniker;;;;
ssyk_2182;ssyk_218;2182; Miljö- och hälsoskyddsinspektörer;;;;
ssyk_2183;ssyk_218;2183; Specialister inom miljöskydd och miljöteknik;;;;
ssyk_2211;ssyk_221;2211; Specialistläkare;;;;
ssyk_2212;ssyk_221;2212; ST-läkare;;;;
ssyk_2213;ssyk_221;2213; AT-läkare;;;;
ssyk_2219;ssyk_221;2219; Övriga läkare;;;;
ssyk_2221;ssyk_222;2221; Grundutbildade sjuksköterskor;;;;
ssyk_2222;ssyk_222;2222; Barnmorskor;;;;
ssyk_2223;ssyk_222;2223; Anestesisjuksköterskor;;;;
ssyk_2224;ssyk_222;2224; Distriktssköterskor;;;;
ssyk_2225;ssyk_222;2225; Psykiatrisjuksköterskor;;;;
ssyk_2226;ssyk_222;2226; Ambulanssjuksköterskor m.fl.;;;;
ssyk_2227;ssyk_222;2227; Geriatriksjuksköterskor;;;;
ssyk_2228;ssyk_222;2228; Intensivvårdssjuksköterskor;;;;
ssyk_2231;ssyk_223;2231; Operationssjuksköterskor;;;;
ssyk_2232;ssyk_223;2232; Barnsjuksköterskor;;;;
ssyk_2233;ssyk_223;2233; Skolsköterskor;;;;
ssyk_2234;ssyk_223;2234; Företagssköterskor;;;;
ssyk_2235;ssyk_223;2235; Röntgensjuksköterskor;;;;
ssyk_2239;ssyk_223;2239; Övriga specialistsjuksköterskor;;;;
ssyk_2241;ssyk_224;2241; Psykologer;;;;
ssyk_2242;ssyk_224;2242; Psykoterapeuter;;;;
ssyk_2250;ssyk_225;2250; Veterinärer;;;;
ssyk_2260;ssyk_226;2260; Tandläkare;;;;
ssyk_2271;ssyk_227;2271; Kiropraktorer och naprapater m.fl.;;;;
ssyk_2272;ssyk_227;2272; Sjukgymnaster;;;;
ssyk_2273;ssyk_227;2273; Arbetsterapeuter;;;;
ssyk_2281;ssyk_228;2281; Apotekare;;;;
ssyk_2282;ssyk_228;2282; Dietister;;;;
ssyk_2283;ssyk_228;2283; Audionomer och logopeder;;;;
ssyk_2284;ssyk_228;2284; Optiker;;;;
ssyk_2289;ssyk_228;2289; Övriga specialister inom hälso- och sjukvård;;;;
ssyk_2311;ssyk_231;2311; Professorer;;;;
ssyk_2312;ssyk_231;2312; Universitets- och högskolelektorer;;;;
ssyk_2313;ssyk_231;2313; Forskarassistenter m.fl.;;;;
ssyk_2314;ssyk_231;2314; Doktorander;;;;
ssyk_2319;ssyk_231;2319; Övriga universitets- och högskollärare;;;;
ssyk_2320;ssyk_232;2320; Lärare i yrkesämnen;;;;
ssyk_2330;ssyk_233;2330; Gymnasielärare;;;;
ssyk_2341;ssyk_234;2341; Grundskollärare;;;;
ssyk_2342;ssyk_234;2342; Fritidspedagoger;;;;
ssyk_2343;ssyk_234;2343; Förskollärare;;;;
ssyk_2351;ssyk_235;2351; Speciallärare och specialpedagoger m.fl.;;;;
ssyk_2352;ssyk_235;2352; Studie- och yrkesvägledare;;;;
ssyk_2359;ssyk_235;2359; Övriga pedagoger med teoretisk specialistkompetens;;;;
ssyk_2411;ssyk_241;2411; Revisorer m.fl.;;;;
ssyk_2412;ssyk_241;2412; Controller;;;;
ssyk_2413;ssyk_241;2413; Finansanalytiker och investeringsrådgivare m.fl.;;;;
ssyk_2414;ssyk_241;2414; Traders och fondförvaltare;;;;
ssyk_2415;ssyk_241;2415; Nationalekonomer och makroanalytiker m.fl.;;;;
ssyk_2419;ssyk_241;2419; Övriga ekonomer;;;;
ssyk_2421;ssyk_242;2421; Lednings- och organisationsutvecklare;;;;
ssyk_2422;ssyk_242;2422; Planerare och utredare m.fl.;;;;
ssyk_2423;ssyk_242;2423; Personal- och HR-specialister;;;;
ssyk_2431;ssyk_243;2431; Marknadsanalytiker och marknadsförare m.fl.;;;;
ssyk_2432;ssyk_243;2432; Informatörer, kommunikatörer och PR-specialister;;;;
ssyk_2511;ssyk_251;2511; Systemanalytiker och IT-arkitekter m.fl.;;;;
ssyk_2512;ssyk_251;2512; Mjukvaru- och systemutvecklare m.fl.;;;;
ssyk_2513;ssyk_251;2513; Utvecklare inom spel och digitala media;;;;
ssyk_2514;ssyk_251;2514; Systemtestare och testledare;;;;
ssyk_2515;ssyk_251;2515; Systemförvaltare m.fl.;;;;
ssyk_2516;ssyk_251;2516; IT-säkerhetsspecialister;;;;
ssyk_2519;ssyk_251;2519; Övriga IT-specialister;;;;
ssyk_2611;ssyk_261;2611; Advokater;;;;
ssyk_2612;ssyk_261;2612; Domare;;;;
ssyk_2613;ssyk_261;2613; Åklagare;;;;
ssyk_2614;ssyk_261;2614; Affärs- och företagsjurister;;;;
ssyk_2615;ssyk_261;2615; Förvaltnings- och organisationsjurister;;;;
ssyk_2619;ssyk_261;2619; Övriga jurister;;;;
ssyk_2621;ssyk_262;2621; Museiintendenter m.fl.;;;;
ssyk_2622;ssyk_262;2622; Bibliotekarier och arkivarier;;;;
ssyk_2623;ssyk_262;2623; Arkeologer och specialister inom humaniora m.m.;;;;
ssyk_2641;ssyk_264;2641; Författare m.fl.;;;;
ssyk_2642;ssyk_264;2642; Journalister m.fl.;;;;
ssyk_2643;ssyk_264;2643; Översättare, tolkar och lingvister m.fl.;;;;
ssyk_2651;ssyk_265;2651; Bildkonstnärer m.fl.;;;;
ssyk_2652;ssyk_265;2652; Musiker, sångare och kompositörer;;;;
ssyk_2653;ssyk_265;2653; Koreografer och dansare;;;;
ssyk_2654;ssyk_265;2654; Regissörer och producenter av film, teater m.m.;;;;
