id,parent_id/id,code,name,description
ssyk_742,ssyk_74,742,742  Elektronikreparatörer och kommunikationselektriker m.fl., Elektronikreparatörer och kommunikationselektriker m.fl.
ssyk_751,ssyk_75,751,751  Utgår[], Utgår[]
ssyk_752,ssyk_75,752,752  Ytbehandlare, trä och möbelsnickare m.fl., Ytbehandlare, trä och möbelsnickare m.fl.
ssyk_753,ssyk_75,753,753  Skräddare, tapetserare och läderhantverkare m.fl., Skräddare, tapetserare och läderhantverkare m.fl.
ssyk_761,ssyk_76,761,761  Slaktare, bagare och livsmedelsförädlare m.fl., Slaktare, bagare och livsmedelsförädlare m.fl.
ssyk_811,ssyk_81,811,811  Malmförädlingsyrken och brunnsborrare m.fl., Malmförädlingsyrken och brunnsborrare m.fl.
ssyk_812,ssyk_81,812,812  Process- och maskinoperatörer, vid stål- och metallverk, Process- och maskinoperatörer, vid stål- och metallverk
ssyk_813,ssyk_81,813,813  Maskinoperatörer, kemiska och farmaceutiska produkter m.m., Maskinoperatörer, kemiska och farmaceutiska produkter m.m.
ssyk_814,ssyk_81,814,814  Maskinoperatörer, gummi-, plast- och pappersvaruindustri, Maskinoperatörer, gummi-, plast- och pappersvaruindustri
ssyk_815,ssyk_81,815,815  Maskinoperatörer, textil-, tvätt- och läderindustri m.m., Maskinoperatörer, textil-, tvätt- och läderindustri m.m.
ssyk_816,ssyk_81,816,816  Maskinoperatörer, livsmedelsindustri, Maskinoperatörer, livsmedelsindustri
ssyk_817,ssyk_81,817,817  Processoperatörer, trä- och pappersindustri, Processoperatörer, trä- och pappersindustri
ssyk_818,ssyk_81,818,818  Andra process- och maskinoperatörer, Andra process- och maskinoperatörer
ssyk_819,ssyk_81,819,819  Drifttekniker och processövervakare, Drifttekniker och processövervakare
ssyk_821,ssyk_82,821,821  Montörer, Montörer
ssyk_831,ssyk_83,831,831  Lokförare och bangårdspersonal, Lokförare och bangårdspersonal
ssyk_832,ssyk_83,832,832  Bil-, motorcykel och cykelförare, Bil-, motorcykel och cykelförare
ssyk_833,ssyk_83,833,833  Lastbils- och bussförare, Lastbils- och bussförare
ssyk_834,ssyk_83,834,834  Maskinförare, Maskinförare
ssyk_835,ssyk_83,835,835  Matroser och jungmän m.fl., Matroser och jungmän m.fl.
ssyk_911,ssyk_91,911,911  Städare och hemservicepersonal m.fl., Städare och hemservicepersonal m.fl.
ssyk_912,ssyk_91,912,912  Tvättare, fönsterputsare och övriga rengöringsarbetare, Tvättare, fönsterputsare och övriga rengöringsarbetare
ssyk_921,ssyk_92,921,921  Bärplockare och plantörer m.fl., Bärplockare och plantörer m.fl.
ssyk_931,ssyk_93,931,931  Grovarbetare inom bygg och anläggning, Grovarbetare inom bygg och anläggning
ssyk_932,ssyk_93,932,932  Handpaketerare och andra fabriksarbetare, Handpaketerare och andra fabriksarbetare
ssyk_933,ssyk_93,933,933  Hamnarbetare och ramppersonal m.fl., Hamnarbetare och ramppersonal m.fl.
ssyk_941,ssyk_94,941,941  Snabbmatspersonal, köks- och restaurangbiträden m.fl., Snabbmatspersonal, köks- och restaurangbiträden m.fl.
ssyk_951,ssyk_95,951,951  Utgår[], Utgår[]
ssyk_952,ssyk_95,952,952  Torg- och marknadsförsäljare, Torg- och marknadsförsäljare
ssyk_961,ssyk_96,961,961  Återvinningsarbetare, Återvinningsarbetare
ssyk_962,ssyk_96,962,962  Tidningsdistributörer, vaktmästare och övriga servicearbetare, Tidningsdistributörer, vaktmästare och övriga servicearbetare
ssyk_1111,ssyk_111,1111,1111  Politiker, Politiker
ssyk_1112,ssyk_111,1112,1112  General-, landstings- och kommundirektörer m.fl., General-, landstings- och kommundirektörer m.fl.
ssyk_1113,ssyk_111,1113,1113  Chefstjänstemän i intresseorganisationer, Chefstjänstemän i intresseorganisationer
ssyk_1120,ssyk_112,1120,1120  Verkställande direktörer m.fl., Verkställande direktörer m.fl.
ssyk_1211,ssyk_121,1211,1211  Ekonomi- och finanschefer, Ekonomi- och finanschefer
ssyk_1212,ssyk_121,1212,1212  Ekonomi- och finanschefer, Ekonomi- och finanschefer
ssyk_1221,ssyk_122,1221,1221  Personal- och HR-chefer, Personal- och HR-chefer
ssyk_1222,ssyk_122,1222,1222  Personal- och HR-chefer, Personal- och HR-chefer
ssyk_1230,ssyk_123,1230,1230  Förvaltnings- och planeringschefer, Förvaltnings- och planeringschefer
ssyk_1241,ssyk_124,1241,1241  Informations-, kommunikations- och PR-chefer, Informations-, kommunikations- och PR-chefer
ssyk_1242,ssyk_124,1242,1242  Informations-, kommunikations - och PR-chefer, Informations-, kommunikations - och PR-chefer
ssyk_1251,ssyk_125,1251,1251  Försäljnings- och marknadschefer, Försäljnings- och marknadschefer
ssyk_1252,ssyk_125,1252,1252  Försäljnings- och marknadschefer, Försäljnings- och marknadschefer
ssyk_1291,ssyk_129,1291,1291  Övriga administrations- och servicechefer, Övriga administrations- och servicechefer
ssyk_1292,ssyk_129,1292,1292  Övriga administrations- och servicechefer, Övriga administrations- och servicechefer
ssyk_1311,ssyk_131,1311,1311  IT-chefer, IT-chefer
ssyk_1312,ssyk_131,1312,1312  IT-chefer, IT-chefer
ssyk_1321,ssyk_132,1321,1321  Inköps-, logistik- och transportchefer, Inköps-, logistik- och transportchefer
ssyk_1322,ssyk_132,1322,1322  Inköps-, logistik- och transportchefer, Inköps-, logistik- och transportchefer
ssyk_1331,ssyk_133,1331,1331  Forsknings- och utvecklingschefer, Forsknings- och utvecklingschefer
ssyk_1332,ssyk_133,1332,1332  Forsknings- och utvecklingschefer, Forsknings- och utvecklingschefer
ssyk_1341,ssyk_134,1341,1341  Chefer inom arkitekt- och ingenjörsverksamhet, Chefer inom arkitekt- och ingenjörsverksamhet
ssyk_1342,ssyk_134,1342,1342  Chefer inom arkitekt- och ingenjörsverksamhet, Chefer inom arkitekt- och ingenjörsverksamhet
ssyk_1351,ssyk_135,1351,1351  Fastighets- och förvaltningschefer, Fastighets- och förvaltningschefer
ssyk_1352,ssyk_135,1352,1352  Fastighets- och förvaltningschefer, Fastighets- och förvaltningschefer
ssyk_1361,ssyk_136,1361,1361  Driftchefer inom bygg, anläggning och gruva, Driftchefer inom bygg, anläggning och gruva
