id,parent_id/id,code,name
sun_311b,sun_311,311b,Psykologutbildning, inklusive fullgjord praktiktjänstgöring (PTP)
sun_311c,sun_311,311c,Psykoterapeututbildning
sun_311x,sun_311,311x,Annan utbildning i psykologi
sun_312a,sun_312,312a,Sociologi
sun_312b,sun_312,312b,Socialantropologi och etnologi
sun_312c,sun_312,312c,Kultur- och samhällsgeografi
sun_312x,sun_312,312x,Annan utbildning i sociologi, etnologi och kulturgeografi
sun_313z,sun_313,313z,Statsvetenskap
sun_314a,sun_314,314a,Nationalekonomi 
sun_314b,sun_314,314b,Ekonomisk historia
sun_314x,sun_314,314x,Annan utbildning i nationalekonomi och ekonomisk historia
sun_319z,sun_319,319z,Samhälls- och beteendevetenskap, övrig och ospecificerad utbildning
sun_320z,sun_320,320z,Journalistik och information, allmän utbildning
sun_321a,sun_321,321a,Journalistik
sun_321b,sun_321,321b,Medie- och kommunikationsvetenskap
sun_321x,sun_321,321x,Annan utbildning i journalistik och medievetenskap
sun_322a,sun_322,322a,Bibliotekarieutbildning samt biblioteks- och informationsvetenskap
sun_322b,sun_322,322b,Dokumentations- och informationsvetenskap
sun_322x,sun_322,322x,Annan utbildning i biblioteks- och dokumentationsvetenskap
sun_329z,sun_329,329z,Journalistik och information, övrig och ospecificerad utbildning
sun_340a,sun_340,340a,Företagsekonomi, allmän utbildning 
sun_340b,sun_340,340b,Företagsekonomi, finansiering
sun_340c,sun_340,340c,Företagsekonomi, marknadsföring
sun_340d,sun_340,340d,Företagsekonomi, organisation och management
sun_340e,sun_340,340e,Företagsekonomi, redovisning 
sun_340f,sun_340,340f,Företagsekonomi, annan inriktning 
sun_340g,sun_340,340g,Handel och administration 
sun_340x,sun_340,340x,Annan bred utbildning i företagsekonomi, handel och administration
sun_341z,sun_341,341z,Inköp, försäljning och distribution
sun_342z,sun_342,342z,Marknadsföring
sun_343z,sun_343,343z,Bank, försäkring och finansiering
sun_344z,sun_344,344z,Redovisning och beskattning
sun_345a,sun_345,345a,Ledarskap, organisation och styrning
sun_345b,sun_345,345b,Administration och förvaltning
sun_345c,sun_345,345c,Personal- och löneadministration
sun_345x,sun_345,345x,Annan utbildning i ledning och administration
sun_346a,sun_346,346a,Utbildning till medicinsk sekreterare
sun_346x,sun_346,346x,Annan utbildning i kontorsservice och sekreterartjänster
sun_347z,sun_347,347z,Arbetsplatsrelaterad utbildning
sun_349z,sun_349,349z,Företagsekonomi, handel och administration, övrig och ospecificerad utbildning
sun_380a,sun_380,380a,Juristutbildning (juristexamen)
sun_380b,sun_380,380b,Juristutbildning (juristexamen), inklusive fullgjord notarietjänstgöring
sun_380c,sun_380,380c,Rättsvetenskaplig utbildning
sun_380x,sun_380,380x,Annan utbildning i juridik och rättsvetenskap
sun_420z,sun_420,420z,Biologi och miljövetenskap, allmän utbildning
sun_421a,sun_421,421a,Biologi
sun_421b,sun_421,421b,Biokemi, toxikologi, farmakologi och nutrition
sun_421x,sun_421,421x,Annan utbildning i biologi och biokemi
sun_422z,sun_422,422z,Miljövetenskap
sun_423z,sun_423,423z,Miljövård och miljöskydd
sun_424z,sun_424,424z,Naturvård och djurskydd
sun_429z,sun_429,429z,Biologi och miljövetenskap, övrig och ospecificerad utbildning
sun_440z,sun_440,440z,Fysik, kemi och geovetenskap, allmän utbildning
sun_441z,sun_441,441z,Fysik
sun_442z,sun_442,442z,Kemi
sun_443z,sun_443,443z,Geovetenskap och naturgeografi
sun_449z,sun_449,449z,Fysik, kemi och geovetenskap, övrig och ospecificerad utbildning
sun_460z,sun_460,460z,Matematik och naturvetenskap, allmän utbildning
sun_461z,sun_461,461z,Matematik
sun_462z,sun_462,462z,Statistik
sun_469z,sun_469,469z,Matematik och naturvetenskap, övrig och ospecificerad utbildning
sun_480z,sun_480,480z,Informations- och kommunikationsteknik (IKT), allmän utbildning
sun_481a,sun_481,481a,Systemutveckling och programmering
sun_481b,sun_481,481b,Datavetenskap
sun_481x,sun_481,481x,Annan utbildning inom datavetenskap och systemvetenskap
sun_482z,sun_482,482z,Datoranvändning
sun_489z,sun_489,489z,Informations- och kommunikationsteknik (IKT), övrig och ospecificerad utbildning
sun_520a,sun_520,520a,Civilingenjörsutbildning, generell teknik och teknisk fysik
sun_520b,sun_520,520b,Ingenjörsutbildning, generell teknik och teknisk fysik
sun_520x,sun_520,520x,Annan bred utbildning i teknik och teknisk industri
sun_521a,sun_521,521a,Civilingenjörsutbildning, maskinteknik
sun_521b,sun_521,521b,Ingenjörsutbildning, maskinteknik
sun_521c,sun_521,521c,Industri och verkstadsteknik
sun_521x,sun_521,521x,Annan utbildning i maskinteknik och verkstadsteknik
